profile,nr_reactions,nr_comments,nr_shares,comments/post,post_interaction_rate,engagement,nr_likes,post_id,followers,post_type
canada's wonderland,153,13,15,30,"2,32E+12",2320000000000.0,125,95469803923_771360978365885,837016,2
disneyland,7984,195,766,326,"5,29E+11",529000000000.0,6426,11081890741_752535190233695,16000000,2
hersheypark,482,30,21,39,"6,30E+11",630000000000.0,395,16994689356_759869529506247,854000,1
quassy amusement & waterpark,11,2,0,2,"3,36E+12",3360000000000.0,11,38328744398_760558772770610,39000,2
kings island,152,21,63,31,"3,59E+10",35900000000.0,124,155893938367_763459475821743,692000,1
universal orlando resort (us),1952,89,84,108,"6,96E+11",696000000000.0,1421,90867402851_771217915039583,3100000,1
cedar point,1393,84,113,84,0.001012700796594268,0.0010127007965942,1084,10625691462_762829105876347,1500000,1
fun spot america,17,8,0,16,"3,36E+12",3360000000000.0,15,184020466977_763397365826278,100000,2
fun spot america,12,1,0,1,"1,32E+12",1320000000000.0,10,184020466977_763397312492950,100000,2
disneyland paris,389,7,7,7,"7,70E+10",77000000000.0,229,652389081615295_772147644953977,5200000,1
kings island,169,8,16,8,"2,82E+12",2820000000000.0,117,155893938367_763424352491922,692000,2
walt disney world,4207,328,1563,664,"3,74E+12",3740000000000.0,2485,155669083273_759794296191222,16000000,2
"santa's workshop north pole, colorado",452,18,15,24,0.010774395997454521,0.0107743959974545,285,344216765184_760844419417306,46000,1
playland,1,0,0,0,"3,09E+09",3090000000.0,1,170865866397863_683412680583169,23000,1
disneyland paris,639,45,11,45,"1,33E+11",133000000000.0,456,652389081615295_772032564965485,5200000,1
gilroy gardens,45,1,3,1,"5,99E+11",599000000000.0,31,122943674395623_763191175845865,83000,1
enchanted island amusement park,9,0,2,0,"7,78E+11",778000000000.0,7,120659204674179_685709110311307,15000,1
six flags,216,9,12,14,"5,26E+11",526000000000.0,179,8696281132_692386839756273,4400000,1
six flags great adventure,94,6,4,6,"9,25E+10",92500000000.0,77,69421318512_746250287537641,1100000,1
hersheypark,1099,14,41,15,0.001343259107122297,0.0013432591071222,829,16994689356_759474092879124,854000,1
skypark at santa's village,125,14,5,18,0.0026583324352480514,0.002658332435248,86,653315854781004_670243708623103,57000,1
wild adventures theme park,131,9,22,10,"8,86E+11",886000000000.0,87,84679583132_765865942253257,66,1
