profile,nr_reactions,nr_comments,nr_shares,comments/post,post_interaction_rate,engagement,nr_likes,post_id,followers,post_type
santa cruz beach boardwalk,1344,151,191,224,0.004240925047255333,0.0042409250472553,893,40035168377_708750521295985,400000,1
calaway park,12,1,0,2,"2,89E+12",2890000000000.0,8,72446805248_686836840154941,48000,1
busch gardens tampa bay,119,10,7,19,"2,15E+12",2150000000000.0,101,68181225238_679008117591162,692000,1
busch gardens williamsburg,52,5,4,8,"9,02E+10",90200000000.0,41,18543728314_680668887435083,690000,1
seaworld orlando,101,6,5,7,"4,79E+11",479000000000.0,87,1782696285170057_301128859255541,267000,2
playland park,47,1,11,1,0.0012522551204499628,0.0012522551204499,44,8119908863_682765337228608,47000,3
canada's wonderland,46,4,4,4,"6,33E+10",63300000000.0,44,95469803923_691115149723802,837016,1
skypark at santa's village,10,0,1,0,"1,99E+12",1990000000000.0,10,653315854781004_602213788759429,57000,1
walt disney animation studios,709,14,112,19,"6,57E+10",65700000000.0,507,23245476854_862693175227540,12000000,1
six flags great america/hurricane harbor,38,5,14,10,"8,20E+10",82000000000.0,36,10583866355_752614583575631,733000,1
wild adventures theme park,16,0,1,0,"9,37E+09",9370000000.0,13,84679583132_691113823061803,66,1
six flags great escape and hurricane harbor,205,32,13,49,0.0031746031746031746,0.0031746031746031,156,51613191805_670700955090749,84000,1
belmont park,16,0,2,0,"3,59E+12",3590000000000.0,13,83231004302_687897003374366,51000,1
pacific park,64,3,5,3,0.0012858750200917973,0.0012858750200917,53,61119627598_677527957756286,55000,1
california's great america,32,4,4,5,"1,56E+12",1560000000000.0,29,28442453154_586068190406417,262000,1
skypark at santa's village,28,2,0,2,"5,42E+11",542000000000.0,26,653315854781004_602202348760573,57000,1
seaworld san diego,76,6,8,6,"8,14E+11",814000000000.0,47,426111667814056_617401193871176,127000,2
elitch gardens,46,8,10,19,"5,07E+11",507000000000.0,39,62242807350_671914994974795,145000,1
playland park,81,5,20,8,0.0023134882733736603,0.0023134882733736,72,8119908863_682704607234681,47000,1
disneyland,26167,2509,3126,3715,0.001921570714070068,0.00192157071407,20054,11081890741_676769867810228,16000000,1
silverwood theme park,172,31,9,41,"5,80E+11",580000000000.0,141,762701550509617_604837018512362,381000,2
sesame place san diego,27,1,14,1,0.001676111421502115,0.0016761114215021,22,116946949686332_807155178086864,29000,2
belmont park,2,0,0,0,"3,99E+10",39900000000.0,2,83231004302_687867306710669,51000,1
silverwood theme park,589,113,24,217,0.0021676734595807248,0.0021676734595807,467,762701550509617_604823125180418,381000,1
belmont park,3,0,0,0,"5,98E+10",59800000000.0,3,83231004302_687853846712015,51000,1
west edmonton mall,20,1,3,2,"1,37E+11",137000000000.0,20,207298682218_683821053792330,189464,1
lake compounce,25,4,1,6,"1,95E+12",1950000000000.0,20,80018245271_701212125375312,166000,1
six flags,80,4,11,5,"2,08E+11",208000000000.0,51,8696281132_619372500391041,4400000,2
six flags darien lake,92,17,23,50,"7,13E+10",71300000000.0,77,9596249636_659650072877491,226000,1
busch gardens tampa bay,56,4,1,4,"9,04E+10",90400000000.0,47,68181225238_678892097602764,692000,1
waterville usa,4,0,1,0,"8,67E+10",86700000000.0,4,138319355040_588172400198775,58000,1
hersheypark,430,24,25,50,"5,89E+11",589000000000.0,377,16994689356_682380440588490,854000,1
marineland,48,9,2,11,"6,93E+11",693000000000.0,41,108249372532899_666448468848492,22000,1
universal orlando resort (us),3906,479,731,641,0.0016956999324354498,0.0016956999324354,2644,90867402851_691783609649681,3100000,1
wild adventures theme park,33,4,9,5,"2,59E+11",259000000000.0,23,84679583132_691024183070767,66,1
seaworld orlando,396,22,28,23,0.001893177361495229,0.0018931773614952,294,1782696285170057_300985999269827,267000,1
kings island,62,10,18,16,"1,40E+12",1400000000000.0,50,155893938367_686748733492818,692000,2
quassy amusement & waterpark,18,2,0,3,"5,44E+11",544000000000.0,16,38328744398_685115276981627,39000,1
gilroy gardens,1461,22,23,28,0.01864962873424279,0.0186496287342427,1373,122943674395623_680399600791690,83000,1
playland,5,0,0,0,"1,54E+11",154000000000.0,5,170865866397863_616470537277384,23000,1
centreville amusement park,5,2,1,2,"4,52E+12",4520000000000.0,5,117784088239988_693867952779195,17000,3
centreville amusement park,20,1,3,1,0.0013551665725578769,0.0013551665725578,16,117784088239988_693823702783620,17000,1
centreville amusement park,9,0,2,0,"6,21E+11",621000000000.0,9,117784088239988_693823352783655,17000,1
disneyland paris,736,313,43,524,"2,47E+11",247000000000.0,555,652389081615295_2332094660311387,5200000,1
six flags,30,2,3,3,"7,80E+09",7800000000.0,25,8696281132_259543913584852,4400000,1
happy hollow park & zoo,18,1,2,4,"6,14E+11",614000000000.0,9,132942835175_674914621332043,39000,2
playland park,98,10,29,16,0.0030351268173617746,0.0030351268173617,74,8119908863_682274620611013,47000,1
fun spot america,10,4,0,4,"1,43E+12",1430000000000.0,8,184020466977_686085016890847,100000,2
kings island,806,31,32,38,0.0012801084877330244,0.001280108487733,661,155893938367_686414743526217,692000,1
wild adventures theme park,43,6,4,7,"2,98E+11",298000000000.0,38,84679583132_690704089769443,66,1
happy hollow park & zoo,8,0,1,0,"2,30E+12",2300000000000.0,8,132942835175_674865811336924,39000,1
six flags great america/hurricane harbor,356,12,28,15,"5,28E+11",528000000000.0,308,10583866355_752091706961252,733000,1
lake compounce,162,42,22,77,0.0015923858332570697,0.001592385833257,94,80018245271_700664518763406,166000,1
skypark at santa's village,19,0,4,0,"4,16E+12",4160000000000.0,19,653315854781004_601730255474449,57000,1
wild adventures theme park,17,7,2,7,"1,43E+12",1430000000000.0,11,84679583132_690653129774539,66,1
six flags over georgia & hurricane harbor,104,16,7,22,"2,73E+11",273000000000.0,74,34284255238_673622321467400,479000,1
six flags magic mountain,348,20,31,52,"6,55E+11",655000000000.0,261,67502107124_678042937691702,660000,1
big kahuna's nj,11,1,1,1,"7,24E+10",72400000000.0,10,26451078324_675926057906502,181000,1
busch gardens williamsburg,37,4,0,5,"5,92E+09",5920000000.0,31,18543728314_680116017490370,690000,3
cedar point,274,13,40,20,"2,13E+12",2130000000000.0,205,10625691462_680687734090485,1500000,2
gilroy gardens,328,10,8,10,0.004267916615270754,0.0042679166152707,303,122943674395623_680394804125503,83000,1
knott's berry farm,93,2,7,2,"1,60E+12",1600000000000.0,75,10286130875_685833796928358,637000,1
walt disney animation studios,345,8,33,11,"3,04E+11",304000000000.0,246,23245476854_862222668607924,12000000,3
canada's wonderland,53,14,6,15,"8,68E+10",86800000000.0,49,95469803923_690539563114694,837016,1
six flags,518,17,55,28,"1,30E+11",130000000000.0,426,8696281132_618768063784818,4400000,1
elitch gardens,52,13,7,13,"4,87E+12",4870000000000.0,43,62242807350_671324545033840,145000,1
california's great america,216,37,15,75,0.0011615151319610247,0.001161515131961,184,28442453154_585589470454289,262000,1
santa cruz beach boardwalk,246,26,28,35,"7,45E+11",745000000000.0,168,40035168377_708022638035440,400000,1
playland park,213,10,31,11,0.005412289079910856,0.0054122890799108,165,8119908863_682157797289362,47000,1
legoland california,117,8,11,17,"2,22E+11",222000000000.0,87,143631389003522_684179733748291,650000,2
knott's berry farm,358,39,36,45,"6,87E+11",687000000000.0,290,10286130875_685817406929997,637000,1
six flags great adventure,39,0,1,0,"3,55E+10",35500000000.0,32,69421318512_670604761768861,1100000,1
silverwood theme park,48,0,6,0,"1,41E+12",1410000000000.0,41,762701550509617_604287278567336,381000,2
seaworld san diego,61,12,12,13,"7,78E+11",778000000000.0,38,426111667814056_616879973923298,127000,2
six flags discovery kingdom,55,0,2,0,"2,14E+12",2140000000000.0,47,59636827742_681534624009009,275000,2
six flags great adventure,299,16,22,20,"3,03E+11",303000000000.0,245,69421318512_670583565104314,1100000,1
six flags great adventure,94,1,8,1,"9,15E+10",91500000000.0,80,69421318512_670583535104317,1100000,1
west edmonton mall,54,4,3,5,"3,39E+11",339000000000.0,52,207298682218_683286570512445,189464,1
seaworld orlando,562,48,76,60,0.002956499639967809,0.0029564996399678,383,1782696285170057_300544285980665,267000,2
gilroy gardens,28,3,0,3,"3,82E+11",382000000000.0,21,122943674395623_680924920739158,83000,1
cedar point,281,11,32,12,"2,07E+12",2070000000000.0,229,10625691462_680552834103975,1500000,1
silverwood theme park,183,24,9,32,"5,85E+10",58500000000.0,154,762701550509617_604260251903372,381000,1
wild adventures theme park,14,0,3,0,"9,37E+10",93700000000.0,11,84679583132_690542153118970,66,1
lake compounce,136,25,9,34,0.0010920960312376072,0.0010920960312376,104,80018245271_700542425442282,166000,1
skypark at santa's village,15,1,1,1,"3,07E+12",3070000000000.0,13,653315854781004_601627178818090,57000,2
six flags darien lake,207,15,25,39,0.0011719070950109622,0.0011719070950109,168,9596249636_659154836260348,226000,1
six flags over georgia & hurricane harbor,87,75,6,78,"3,51E+10",35100000000.0,72,34284255238_673496364813329,479000,1
canada's wonderland,85,7,23,7,"1,35E+11",135000000000.0,78,95469803923_690457239789593,837016,1
waterville usa,5,0,0,0,"8,66E+10",86600000000.0,4,138319355040_588171640198851,58000,1
six flags great escape and hurricane harbor,57,3,5,5,"7,97E+11",797000000000.0,48,51613191805_670042111823300,84000,1
kings island,358,43,63,54,"6,94E+11",694000000000.0,283,155893938367_686215980212760,692000,2
busch gardens williamsburg,143,9,30,16,"2,66E+12",2660000000000.0,107,18543728314_679991737502798,690000,2
busch gardens tampa bay,311,45,50,81,"6,55E+09",6550000000.0,243,68181225238_678300330995274,692000,2
quassy amusement & waterpark,13,1,1,1,"3,89E+10",38900000000.0,13,38328744398_684570070369481,39000,1
playland,3,0,0,0,"9,26E+09",9260000000.0,3,170865866397863_615995180658253,23000,1
hersheypark,305,23,71,26,"4,69E+12",4690000000000.0,241,16994689356_681766207316580,854000,2
fun spot america,13,0,4,0,"1,73E+12",1730000000000.0,13,184020466977_685787460253936,100000,2
disneyland paris,1728,117,20,181,"3,65E+12",3650000000000.0,1172,652389081615295_2331437390377114,5200000,1
castles & coasters,1,0,0,0,"4,04E+12",4040000000000.0,1,252289045458198_668115418672645,2300,1
california's great america,125,8,16,15,"5,92E+11",592000000000.0,78,28442453154_585241893822380,262000,2
knott's berry farm,881,120,187,240,0.0020480958032825904,0.0020480958032825,773,10286130875_685431586968579,637000,3
happy hollow park & zoo,49,6,2,6,0.0014579496623695518,0.0014579496623695,34,132942835175_674402174716621,39000,2
happy hollow park & zoo,14,0,2,0,"4,09E+11",409000000000.0,13,132942835175_674401578050014,39000,1
hersheypark,283,44,79,57,"4,88E+11",488000000000.0,231,16994689356_681543277338873,854000,2
wild adventures theme park,15,0,3,0,"9,92E+10",99200000000.0,8,84679583132_690182203154965,66,1
cedar point,101,13,11,17,"8,22E+10",82200000000.0,91,10625691462_680132727479319,1500000,1
six flags magic mountain,47,5,11,7,"9,88E+10",98800000000.0,36,67502107124_677560651073264,660000,1
busch gardens williamsburg,112,4,10,4,"1,78E+12",1780000000000.0,102,18543728314_679640507537921,690000,3
elitch gardens,66,40,8,45,"8,04E+11",804000000000.0,44,62242807350_670862371746724,145000,1
canada's wonderland,49,6,8,8,"7,62E+10",76200000000.0,47,95469803923_690060759829241,837016,1
legoland california,83,3,2,3,"1,35E+12",1350000000000.0,72,143631389003522_683748180458113,650000,1
lake compounce,69,16,4,19,"5,61E+11",561000000000.0,53,80018245271_700120872151104,166000,1
six flags,143,12,34,15,"4,16E+11",416000000000.0,112,8696281132_618215573840067,4400000,2
six flags over georgia & hurricane harbor,614,185,325,288,0.0025158754405857665,0.0025158754405857,420,34284255238_673013251528307,479000,1
sesame place san diego,39,7,0,9,0.00192508221705302,0.001925082217053,26,116946949686332_805479678254414,29000,1
six flags great america/hurricane harbor,5152,1304,2301,2157,0.012718167525131946,0.0127181675251319,3390,10583866355_751517007018722,733000,1
six flags great adventure,18564,3571,7877,5596,0.02846308913850224,0.0284630891385022,12020,69421318512_670132545149416,1100000,1
walt disney world,2625,189,227,1002,"2,21E+12",2210000000000.0,1950,155669083273_10162204828833274,16000000,1
west edmonton mall,39,4,3,5,"2,57E+11",257000000000.0,35,207298682218_682825713891864,189464,3
acn - america's coaster network,1,0,1,0,0.001122334455667789,0.0011223344556677,1,111078814744_964551031314475,4000,1
kings island,318,49,34,72,"6,20E+10",62000000000.0,248,155893938367_685839440250414,692000,2
six flags discovery kingdom,41,5,5,5,"1,91E+12",1910000000000.0,30,59636827742_681052900723848,275000,2
six flags,61,5,8,7,"1,65E+11",165000000000.0,59,8696281132_618152887179669,4400000,3
skypark at santa's village,7,0,2,0,"1,63E+11",163000000000.0,7,653315854781004_601200855527389,57000,3
glenwood caverns adventure park,33,3,10,4,"5,28E+11",528000000000.0,28,58441077768_688150666690358,93000,3
cedar point,158,41,7,68,"1,48E+12",1480000000000.0,128,10625691462_680031704156088,1500000,1
seaworld san diego,52,4,8,7,"6,06E+11",606000000000.0,41,426111667814056_616392077305421,127000,3
gilroy gardens,22,4,2,6,"3,70E+12",3700000000000.0,14,122943674395623_680320024132981,83000,1
santa cruz beach boardwalk,188,8,9,10,"4,99E+11",499000000000.0,157,40035168377_707468801424157,400000,1
universal studios hollywood,812,112,144,258,"4,48E+12",4480000000000.0,652,61784580148_10160786449485149,2700000,1
silverwood theme park,417,46,42,54,0.0013399503722084367,0.0013399503722084,334,762701550509617_603739508622113,381000,1
six flags great adventure,82,7,9,10,"8,97E+10",89700000000.0,73,69421318512_670047271824610,1100000,3
lake compounce,23,0,0,0,"1,40E+12",1400000000000.0,17,80018245271_700009935495531,166000,1
six flags great adventure,221,13,19,18,"2,29E+11",229000000000.0,185,69421318512_670038905158780,1100000,1
playland park,56,3,2,4,0.0013161246497410206,0.001316124649741,49,8119908863_681582210680254,47000,1
silverwood theme park,218,14,17,17,"6,58E+10",65800000000.0,164,762701550509617_603713878624676,381000,3
glenwood caverns adventure park,100,9,20,9,0.001448038973576095,0.001448038973576,82,58441077768_687830756722349,93000,1
six flags great escape and hurricane harbor,53,8,4,9,"7,85E+11",785000000000.0,46,51613191805_669564035204441,84000,1
walt disney animation studios,1317,40,85,45,"1,13E+12",1130000000000.0,918,23245476854_861683541995170,12000000,1
busch gardens williamsburg,120,6,10,17,"2,07E+12",2070000000000.0,102,18543728314_679447144223924,690000,1
waterville usa,8,0,2,0,"1,73E+12",1730000000000.0,8,138319355040_588171306865551,58000,1
lake compounce,21,0,4,0,"1,53E+12",1530000000000.0,21,80018245271_699949348834923,166000,1
wild adventures theme park,89,8,4,11,"5,73E+11",573000000000.0,54,84679583132_689984936508025,66,1
busch gardens tampa bay,122,20,17,21,"2,37E+12",2370000000000.0,100,68181225238_677757097716264,692000,2
universal orlando resort (us),344,12,36,16,"1,27E+12",1270000000000.0,275,90867402851_690663549761687,3100000,1
playland,4,0,0,0,"1,23E+11",123000000000.0,4,170865866397863_615580154033089,23000,3
lake winnie,38,0,5,0,"3,49E+12",3490000000000.0,35,112097441679_715920667240718,123000,1
centreville amusement park,22,1,1,1,0.0013559322033898306,0.0013559322033898,22,117784088239988_692574926241831,17000,1
quassy amusement & waterpark,10,0,1,0,"2,85E+11",285000000000.0,10,38328744398_684092850417203,39000,1
marineland,39,0,8,0,"5,34E+11",534000000000.0,33,108249372532899_665395012287171,22000,1
playland,2,0,0,0,"6,17E+09",6170000000.0,2,170865866397863_615526960705075,23000,1
happy hollow park & zoo,13,1,1,1,"3,84E+12",3840000000000.0,8,132942835175_673774608112711,39000,2
knott's berry farm,63,5,1,18,"1,28E+11",128000000000.0,62,10286130875_684865470358524,637000,1
busch gardens williamsburg,92,5,4,7,"1,45E+11",145000000000.0,80,18543728314_679075540927751,690000,1
six flags great america/hurricane harbor,83,10,8,15,"1,40E+11",140000000000.0,68,10583866355_750987537071669,733000,1
six flags magic mountain,288,73,18,102,"6,20E+11",620000000000.0,220,67502107124_676987597797236,660000,1
kings island,691,80,195,97,0.0014365464429765592,0.0014365464429765,375,155893938367_685305630303795,692000,2
happy hollow park & zoo,15,0,0,0,"3,84E+12",3840000000000.0,14,132942835175_673681548122017,39000,1
elitch gardens,25,0,0,0,"1,69E+11",169000000000.0,20,62242807350_670201275146167,145000,1
elitch gardens,6,0,0,0,"4,06E+10",40600000000.0,6,62242807350_670198251813136,145000,1
wild adventures theme park,28,2,2,3,"1,82E+12",1820000000000.0,23,84679583132_689589069880945,66,1
hersheypark,157,7,8,11,"2,05E+10",20500000000.0,143,16994689356_680787727414428,854000,1
belmont park,49,13,5,18,0.001435893345033205,0.0014358933450332,37,83231004302_686265586870841,51000,1
skypark at santa's village,48,2,4,4,0.0010121274557646082,0.0010121274557646,41,653315854781004_600672818913526,57000,1
california's great america,45,5,4,5,"2,05E+12",2050000000000.0,39,28442453154_584608803885689,262000,1
sesame place san diego,82,9,9,11,0.004103141719296834,0.0041031417192968,62,116946949686332_804687801666935,29000,1
disneyland,1222,217,138,346,"9,93E+10",99300000000.0,987,11081890741_675222367964978,16000000,1
california's great america,53,7,12,7,"2,73E+12",2730000000000.0,46,28442453154_584600217219881,262000,1
lake compounce,40,8,12,11,"3,84E+12",3840000000000.0,32,80018245271_699424998887358,166000,1
santa cruz beach boardwalk,442,71,103,104,0.0015647377075266537,0.0015647377075266,364,40035168377_702740261897011,400000,3
six flags discovery kingdom,17,0,1,0,"6,75E+10",67500000000.0,14,59636827742_680429774119494,275000,1
seaworld san diego,33,1,6,1,"3,62E+11",362000000000.0,28,426111667814056_615867954024500,127000,2
six flags great escape and hurricane harbor,140,6,3,20,0.001938722108568438,0.0019387221085684,118,51613191805_669063528587825,84000,1
playland,5,0,0,0,"1,54E+11",154000000000.0,4,170865866397863_615141630743608,23000,3
six flags discovery kingdom,27,3,5,3,"1,31E+12",1310000000000.0,15,59636827742_680408937454911,275000,2
silverwood theme park,64,10,12,10,"2,25E+12",2250000000000.0,52,762701550509617_603147735347957,381000,1
six flags darien lake,21,2,6,2,"1,25E+12",1250000000000.0,15,9596249636_658134456362386,226000,2
wild adventures theme park,17,2,1,2,"1,10E+12",1100000000000.0,14,84679583132_689475483225637,66,1
playland park,14,3,4,3,"4,46E+11",446000000000.0,14,8119908863_680863460752129,47000,1
west edmonton mall,218,31,27,64,0.0016877130123219436,0.0016877130123219,197,207298682218_682129330628169,189464,1
busch gardens tampa bay,60,8,9,11,"1,19E+09",1190000000.0,51,68181225238_677270937764880,692000,2
elitch gardens,155,28,0,43,0.0013381723809330712,0.001338172380933,136,62242807350_670074645158830,145000,3
kings island,198,46,104,90,"5,73E+11",573000000000.0,127,155893938367_685159350318423,692000,1
playland park,27,0,2,0,"6,16E+11",616000000000.0,23,8119908863_680825444089264,47000,3
waterville usa,5,0,0,0,"8,66E+10",86600000000.0,4,138319355040_588170890198926,58000,1
cedar point,166,30,179,43,"2,47E+11",247000000000.0,129,10625691462_679316504227608,1500000,1
universal orlando resort (us),1207,41,67,67,"4,31E+11",431000000000.0,982,90867402851_690042689823773,3100000,1
busch gardens williamsburg,56,1,6,1,"8,88E+08",888000000.0,47,18543728314_662957995481259,690000,1
busch gardens williamsburg,168,9,2,15,"2,61E+11",261000000000.0,139,18543728314_678844257617546,690000,1
wild adventures theme park,19,21,5,30,"2,98E+12",2980000000000.0,14,84679583132_689406579899194,66,1
quassy amusement & waterpark,21,0,1,0,"5,70E+11",570000000000.0,18,38328744398_683482113811610,39000,1
cedar point,213,85,59,132,"2,57E+11",257000000000.0,183,10625691462_679254200900505,1500000,1
playland,6,0,0,0,"1,85E+11",185000000000.0,6,170865866397863_615012654089839,23000,1
playland park,52,1,0,1,0.0011253131767803304,0.0011253131767803,48,8119908863_680479490790526,47000,1
cedar point,1164,28,50,34,"7,95E+11",795000000000.0,946,10625691462_678948507597741,1500000,1
west edmonton mall,75,10,3,11,"4,86E+11",486000000000.0,71,207298682218_681741547333614,189464,3
six flags great escape and hurricane harbor,105,6,6,8,0.0014155207689013655,0.0014155207689013,93,51613191805_668573841970127,84000,3
six flags darien lake,49,5,12,6,"2,90E+12",2900000000000.0,45,9596249636_657740606401771,226000,1
busch gardens williamsburg,99,24,7,30,"1,92E+11",192000000000.0,83,18543728314_678492660986039,690000,1
happy hollow park & zoo,50,1,1,1,0.0013302294645826404,0.0013302294645826,38,132942835175_673078934848945,39000,1
marineland,56,8,1,8,"7,39E+11",739000000000.0,33,108249372532899_664572025702803,22000,1
calaway park,13,2,0,2,"3,09E+11",309000000000.0,11,72446805248_684346023737356,48000,1
playland park,8,0,0,0,"1,70E+12",1700000000000.0,8,8119908863_680362024135606,47000,1
skypark at santa's village,19,0,3,0,"3,98E+12",3980000000000.0,15,653315854781004_600176385629836,57000,1
elitch gardens,47,3,0,3,"3,38E+12",3380000000000.0,32,62242807350_669635245202770,145000,1
six flags great adventure,96,6,4,12,"9,95E+09",9950000000.0,82,69421318512_668955588600445,1100000,1
hersheypark,183,9,14,13,"2,45E+11",245000000000.0,154,16994689356_680133330813201,854000,1
wild adventures theme park,25,4,15,4,"2,43E+12",2430000000000.0,20,84679583132_688993096607209,66,3
seaworld san diego,28,0,4,0,"2,89E+11",289000000000.0,22,426111667814056_615357914075504,127000,1
hurricane harbor oklahoma city,15,0,1,0,"3,67E+12",3670000000000.0,12,87241076807_681548054013588,43000,1
six flags,65,4,8,7,"1,73E+11",173000000000.0,52,8696281132_616617130666578,4400000,2
walt disney animation studios,12470,195,1539,224,0.001113714795583295,0.0011137147955832,9729,23245476854_860673662096158,12000000,2
six flags discovery kingdom,15,0,0,0,"5,63E+10",56300000000.0,14,59636827742_679786697517135,275000,1
lake compounce,13,1,0,1,"8,54E+10",85400000000.0,13,80018245271_698726848957173,166000,1
busch gardens tampa bay,570,18,51,32,"9,68E+11",968000000000.0,467,68181225238_676755894483051,692000,1
santa cruz beach boardwalk,755,31,90,45,0.002145793401082541,0.0021457934010825,616,40035168377_705930274911343,400000,1
wild adventures theme park,75,8,6,8,"4,91E+11",491000000000.0,50,84679583132_688960703277115,66,1
waterville usa,2,0,0,0,"3,47E+11",347000000000.0,2,138319355040_588170456865636,58000,1
six flags great adventure,143,2,5,3,"1,34E+12",1340000000000.0,126,69421318512_668743788621625,1100000,1
busch gardens tampa bay,289,52,17,74,"5,63E+11",563000000000.0,229,68181225238_676658071159500,692000,1
playland,6,0,1,0,"2,16E+11",216000000000.0,4,170865866397863_614539697470468,23000,1
kings island,97,32,36,54,"2,73E+12",2730000000000.0,84,155893938367_684497953717896,692000,1
wild adventures theme park,18,0,0,0,"9,92E+10",99200000000.0,9,84679583132_688873649952487,66,1
canada's wonderland,43,28,11,76,"1,53E+12",1530000000000.0,39,95469803923_688511829984134,837016,1
busch gardens williamsburg,121,15,2,24,"2,07E+12",2070000000000.0,104,18543728314_678268587675113,690000,1
quassy amusement & waterpark,22,1,1,1,"6,22E+11",622000000000.0,21,38328744398_682908890535599,39000,1
playland,4,0,0,0,"1,23E+11",123000000000.0,4,170865866397863_614499980807773,23000,1
knott's berry farm,260,8,13,9,"4,42E+12",4420000000000.0,229,10286130875_684026663775738,637000,1
wild adventures theme park,44,0,4,0,"2,65E+11",265000000000.0,26,84679583132_688617379978114,66,1
six flags great adventure,147,5,4,8,"1,41E+12",1410000000000.0,125,69421318512_668403845322286,1100000,1
acn - america's coaster network,12,2,0,3,0.008412787436904094,0.008412787436904,10,111078814744_963070421462536,4000,1
calaway park,43,2,8,3,0.0011137465195421264,0.0011137465195421,37,72446805248_683698297135462,48000,1
six flags great escape and hurricane harbor,278,18,9,36,0.0038423106204796345,0.0038423106204796,227,51613191805_668022478691930,84000,1
lake compounce,34,4,2,8,"2,69E+10",26900000000.0,30,80018245271_698236762339515,166000,1
wild adventures theme park,62,31,18,43,"6,78E+11",678000000000.0,48,84679583132_688525193320666,66,1
marineland,61,7,3,7,"8,07E+11",807000000000.0,39,108249372532899_663993649093974,22000,1
six flags darien lake,92,10,10,26,"5,54E+11",554000000000.0,76,9596249636_657211299788035,226000,1
playland park,83,4,1,4,0.0018689603907826272,0.0018689603907826,68,8119908863_679776470860828,47000,1
hurricane harbor oklahoma city,17,3,0,6,"5,28E+11",528000000000.0,16,87241076807_680678634100530,43000,1
santa cruz beach boardwalk,138,8,5,9,"3,66E+11",366000000000.0,115,40035168377_705314754972895,400000,1
canada's wonderland,78,5,9,6,"1,09E+12",1090000000000.0,62,95469803923_688083753360275,837016,2
acn - america's coaster network,6,0,0,0,0.0033651149747616375,0.0033651149747616,6,111078814744_962958388140406,4000,1
happy hollow park & zoo,28,5,3,7,"9,72E+11",972000000000.0,15,132942835175_672419378248234,39000,1
playland park,24,2,1,2,"5,73E+11",573000000000.0,20,8119908863_679738174197991,47000,1
six flags discovery kingdom,26,1,0,1,"1,01E+12",1010000000000.0,24,59636827742_679264230902715,275000,1
seaworld san diego,245,17,20,25,0.002624101923738169,0.0026241019237381,203,426111667814056_614865267458102,127000,1
sesame place san diego,20,3,0,3,"9,31E+11",931000000000.0,15,116946949686332_803096621826053,29000,1
silverwood theme park,265,34,35,40,"8,88E+11",888000000000.0,225,762701550509617_601935408802523,381000,2
six flags great america/hurricane harbor,106,6,14,8,"1,69E+12",1690000000000.0,87,10583866355_749511450552611,733000,1
seaworld orlando,159,17,41,21,"9,36E+11",936000000000.0,136,1782696285170057_298345152867245,267000,2
six flags,34,22,3,27,"1,39E+11",139000000000.0,26,8696281132_615926824068942,4400000,2
funland rehoboth beach,917,11,30,11,0.03373952243431711,0.0337395224343171,729,138717682836880_676484534516339,29000,1
walt disney studios (us),308,16,19,18,"9,26E+09",9260000000.0,249,111382562236411_822101539538784,16000000,2
wild adventures theme park,44,1,7,1,"2,87E+11",287000000000.0,33,84679583132_688424046664114,66,1
lake winnie,6,0,3,0,"7,31E+10",73100000000.0,5,112097441679_714128167419968,123000,1
waterville usa,6,1,2,2,"1,73E+12",1730000000000.0,6,138319355040_588169826865699,58000,1
hersheypark,310,18,18,30,"4,17E+11",417000000000.0,270,16994689356_679437174216150,854000,1
busch gardens tampa bay,174,22,37,28,"3,54E+12",3540000000000.0,116,68181225238_676138887878085,692000,2
quassy amusement & waterpark,11,0,2,0,"3,37E+11",337000000000.0,8,38328744398_682397680586720,39000,2
busch gardens williamsburg,54,2,1,2,"8,03E+09",8030000000.0,44,18543728314_677742544394384,690000,1
canada's wonderland,42,15,4,27,"8,56E+10",85600000000.0,38,95469803923_687918400043477,837016,1
cedar point,798,59,36,84,"5,85E+11",585000000000.0,670,10625691462_678042451021680,1500000,1
kings island,129,21,59,39,"3,32E+12",3320000000000.0,87,155893938367_683904040443954,692000,2
playland,3,0,1,0,"1,23E+11",123000000000.0,2,170865866397863_614014444189660,23000,1
fun spot america,36,6,2,6,"4,48E+12",4480000000000.0,31,184020466977_681165610716121,100000,2
disneyland paris,228,3,5,3,"4,47E+10",44700000000.0,182,652389081615295_2328839867303533,5200000,1
castles & coasters,1,0,0,0,"4,04E+12",4040000000000.0,1,252289045458198_666080998876087,2300,1
kings island,79,14,19,21,"1,74E+12",1740000000000.0,68,155893938367_683559910478367,692000,2
wild adventures theme park,29,1,3,1,"1,82E+11",182000000000.0,21,84679583132_688078270032025,66,1
pacific park,250,3,12,3,0.004732734448948976,0.0047327344489489,206,61119627598_674370461405369,55000,1
six flags over georgia & hurricane harbor,77,19,5,35,"2,40E+11",240000000000.0,68,34284255238_670803795082586,479000,1
silverwood theme park,26,2,0,4,"7,84E+09",7840000000.0,23,762701550509617_601563945506336,381000,1
silverwood theme park,44,6,1,11,"1,46E+11",146000000000.0,40,762701550509617_601561122173285,381000,3
six flags great escape and hurricane harbor,52,1,3,2,"6,78E+11",678000000000.0,47,51613191805_667533748740803,84000,1
canada's wonderland,80,18,27,22,"1,51E+12",1510000000000.0,58,95469803923_687555520079765,837016,1
wild adventures theme park,41,8,11,8,"3,31E+11",331000000000.0,29,84679583132_688024573370728,66,1
